epochs, train_loss, val_loss, train_acc, val_acc
0,1.790574,1.493857,0.343311,0.457400
1,1.456496,1.295850,0.467244,0.520200
2,1.350054,1.217682,0.514222,0.568200
3,1.270218,1.194244,0.543867,0.571800
4,1.234181,1.155592,0.560178,0.585600
5,1.190373,1.146586,0.574933,0.588800
6,1.160135,1.136208,0.585844,0.594400
7,1.137191,1.080033,0.597289,0.622000
8,1.117196,1.019109,0.604044,0.640600
9,1.095688,0.994912,0.614111,0.647800
10,1.079541,1.036458,0.618311,0.630400
11,1.067052,0.992340,0.623311,0.652400
12,1.057510,0.992814,0.628378,0.649000
13,1.039308,1.001316,0.634267,0.648400
14,1.016874,0.983720,0.639467,0.650200
15,1.014976,0.965043,0.643356,0.658800
16,0.994539,0.937190,0.647333,0.663600
17,0.992679,0.946319,0.649778,0.671800
18,0.977138,0.916379,0.654244,0.676400
19,0.976644,0.906575,0.656378,0.682600
20,0.966667,0.904487,0.660022,0.687400
21,0.953724,0.982907,0.662711,0.656800
22,0.947153,0.920524,0.666467,0.673000
23,0.940229,0.939190,0.667800,0.670800
24,0.939780,0.935597,0.669511,0.670000
25,0.932339,0.927559,0.674311,0.672400
26,0.928297,0.936579,0.673222,0.672800
27,0.911538,0.879148,0.679422,0.684000
28,0.919165,0.878084,0.674978,0.692000
29,0.905780,0.905761,0.683111,0.680000
30,0.904204,0.884564,0.682089,0.688000
31,0.896108,0.863131,0.684467,0.696400
32,0.890388,0.857810,0.687333,0.696600
33,0.896238,0.860175,0.687933,0.695200
34,0.886063,0.848692,0.689333,0.695400
35,0.881383,0.845480,0.691711,0.696400
36,0.876742,0.851067,0.692111,0.702800
37,0.876294,0.881713,0.690911,0.689600
38,0.870899,0.860661,0.694222,0.695200
39,0.865248,0.837902,0.694667,0.707200
40,0.862614,0.831963,0.698489,0.707600
41,0.863617,0.836635,0.694444,0.705000
42,0.858590,0.812877,0.697400,0.716200
43,0.850820,0.819153,0.702244,0.710800
44,0.857398,0.819496,0.698533,0.712600
45,0.852161,0.825217,0.700267,0.711400
46,0.848694,0.842312,0.703178,0.707200
47,0.839091,0.810810,0.703889,0.709200
48,0.842606,0.808873,0.701778,0.702600
49,0.838082,0.808835,0.703733,0.710600
50,0.829596,0.823026,0.707267,0.701000
51,0.840469,0.847086,0.702444,0.701000
52,0.829759,0.814181,0.706822,0.710800
53,0.830608,0.825090,0.707800,0.706200
54,0.829117,0.808474,0.706600,0.708800
55,0.829228,0.812373,0.710378,0.717800
56,0.821497,0.792586,0.712667,0.721800
57,0.820893,0.808321,0.710778,0.721400
58,0.818445,0.817798,0.711556,0.713200
59,0.816532,0.799469,0.710200,0.721400
60,0.819886,0.820084,0.712867,0.709600
61,0.788797,0.765330,0.719889,0.727400
62,0.779560,0.765341,0.727356,0.727800
63,0.779958,0.766637,0.725311,0.730200
64,0.779228,0.786993,0.724111,0.726200
65,0.775492,0.762700,0.727333,0.733400
66,0.776618,0.764823,0.731733,0.722800
67,0.771982,0.758558,0.726356,0.729600
68,0.764128,0.782505,0.730489,0.719000
69,0.769829,0.773736,0.726956,0.729400
70,0.774092,0.771894,0.727844,0.727800
71,0.762852,0.766020,0.729467,0.730000
72,0.770344,0.762059,0.730467,0.729800
73,0.768172,0.754707,0.731222,0.731200
74,0.764568,0.753334,0.731178,0.736200
75,0.757419,0.752198,0.730822,0.732000
76,0.768099,0.751982,0.729489,0.734200
77,0.760345,0.755085,0.734044,0.731000
78,0.759995,0.767983,0.733600,0.728400
79,0.768059,0.766917,0.731133,0.732000
80,0.761856,0.754517,0.733022,0.733000
81,0.754644,0.758956,0.734511,0.734400
82,0.759128,0.758682,0.734556,0.734000
83,0.758997,0.749836,0.734156,0.734200
84,0.754037,0.749172,0.732489,0.735800
85,0.757500,0.753655,0.734333,0.733000
86,0.760283,0.752900,0.731644,0.729800
87,0.753776,0.756992,0.734533,0.735400
88,0.760189,0.753737,0.734289,0.742000
89,0.750854,0.743541,0.735133,0.737400
90,0.750561,0.751595,0.737356,0.733800
91,0.753115,0.745059,0.734356,0.732600
92,0.753180,0.775042,0.736244,0.730400
93,0.749791,0.752127,0.736400,0.735800
94,0.753658,0.751368,0.734733,0.735400
95,0.750359,0.759554,0.735111,0.738400
96,0.747004,0.747473,0.738267,0.741400
97,0.751387,0.745726,0.735844,0.738000
98,0.747201,0.744482,0.735578,0.739200
99,0.752636,0.743988,0.735289,0.737200
