epochs, train_loss, val_loss, train_acc, val_acc
0,1.729153,1.298435,0.380711,0.501000
1,1.228161,1.135328,0.551689,0.601200
2,0.998821,0.856519,0.647911,0.692800
3,0.839051,0.820475,0.703267,0.709000
4,0.743926,0.644498,0.740667,0.775600
5,0.661061,0.740591,0.769022,0.737200
6,0.602183,0.709743,0.790978,0.757800
7,0.555760,0.630480,0.809378,0.779600
8,0.519463,0.647312,0.821556,0.777600
9,0.482626,0.703347,0.834511,0.775000
10,0.452689,0.512952,0.842956,0.829200
11,0.429721,0.472994,0.852578,0.837600
12,0.414421,0.511606,0.858089,0.830400
13,0.388476,0.487770,0.866844,0.835000
14,0.364175,0.486299,0.872600,0.832800
15,0.351697,0.466541,0.879267,0.847600
16,0.333767,0.596583,0.883044,0.805200
17,0.327726,0.391406,0.886667,0.866000
18,0.312700,0.397662,0.891089,0.865400
19,0.297929,0.418657,0.895044,0.859800
20,0.281770,0.556958,0.900933,0.826600
21,0.275652,0.532173,0.904489,0.829000
22,0.266263,0.417276,0.907156,0.869600
23,0.258984,0.388654,0.911600,0.878200
24,0.246793,0.459530,0.914511,0.840400
25,0.244560,0.457516,0.916089,0.855800
26,0.237474,0.439675,0.917956,0.855800
27,0.232595,0.398079,0.920156,0.869400
28,0.218256,0.383904,0.923911,0.880800
29,0.211031,0.356193,0.926044,0.879800
30,0.213025,0.327110,0.928311,0.894000
31,0.209893,0.414421,0.926067,0.868400
32,0.201898,0.397395,0.931244,0.872200
33,0.194931,0.542706,0.931822,0.828000
34,0.187932,0.374091,0.934444,0.879200
35,0.186013,0.382087,0.935067,0.880600
36,0.187345,0.351520,0.934844,0.892000
37,0.183535,0.348096,0.935356,0.889600
38,0.184392,0.411532,0.936689,0.867200
39,0.175029,0.568728,0.938400,0.828400
40,0.175907,0.370423,0.937756,0.883600
41,0.168088,0.324738,0.941622,0.895000
42,0.173613,0.406913,0.940933,0.877200
43,0.159694,0.424192,0.943356,0.873800
44,0.166119,0.374665,0.942467,0.879000
45,0.157265,0.371438,0.942844,0.884800
46,0.157845,0.340354,0.944422,0.886800
47,0.158192,0.314053,0.944489,0.905000
48,0.156582,0.340666,0.946289,0.891600
49,0.162342,0.469896,0.944867,0.857200
50,0.157821,0.335160,0.944111,0.894800
51,0.155045,0.346203,0.946356,0.892800
52,0.152095,0.421756,0.947000,0.869000
53,0.153953,0.339969,0.947800,0.893600
54,0.152958,0.306096,0.947622,0.900400
55,0.153436,0.325593,0.945867,0.895600
56,0.147596,0.448260,0.947800,0.867000
57,0.145758,0.326026,0.949844,0.897800
58,0.147145,0.316076,0.949556,0.898400
59,0.143082,0.664563,0.949956,0.811800
60,0.143295,0.341974,0.949222,0.896400
61,0.146799,0.327225,0.949600,0.895000
62,0.135400,0.494126,0.952400,0.850200
63,0.141659,0.449435,0.951089,0.866400
64,0.145841,0.602568,0.949689,0.823400
65,0.135681,0.432205,0.953267,0.867000
66,0.139432,0.400063,0.949800,0.875600
67,0.136523,0.431745,0.952600,0.876400
68,0.143044,0.367345,0.949644,0.888800
69,0.137639,0.339730,0.952067,0.895200
70,0.130258,0.363288,0.953600,0.890600
