epochs, train_loss, val_loss, train_acc, val_acc
0,1.808216,1.505008,0.341267,0.439600
1,1.445098,1.411788,0.473422,0.490400
2,1.351726,1.267631,0.512822,0.552200
3,1.289171,1.258976,0.537244,0.553000
4,1.240724,1.168874,0.554756,0.585600
5,1.212325,1.133799,0.565733,0.594400
6,1.176290,1.099229,0.579778,0.606400
7,1.153521,1.092298,0.584156,0.614400
8,1.124512,1.086999,0.598044,0.612200
9,1.112548,1.062394,0.602111,0.625000
10,1.104794,1.040260,0.608956,0.628800
11,1.076867,0.999079,0.616111,0.641600
12,1.062604,1.016383,0.620156,0.645000
13,1.048256,0.990268,0.625822,0.651000
14,1.051259,0.976503,0.628156,0.651600
15,1.030173,0.997574,0.634911,0.645800
16,1.023028,0.964192,0.635356,0.658000
17,1.017581,0.959291,0.635600,0.656000
18,1.005932,0.946929,0.644378,0.665800
19,0.993692,0.939762,0.646378,0.661800
20,0.986726,0.957948,0.648422,0.655600
21,0.988904,0.931603,0.650178,0.669800
22,0.974987,0.968500,0.656067,0.662800
23,0.971504,0.918416,0.656467,0.669400
24,0.960752,0.915408,0.656622,0.670600
25,0.957555,0.918377,0.659578,0.668800
26,0.945638,0.906507,0.664956,0.670000
27,0.938949,0.918363,0.666000,0.668400
28,0.936306,0.904965,0.669800,0.676600
29,0.942005,0.877534,0.668756,0.688400
