epochs, train_loss, val_loss, train_acc, val_acc
0,1.750235,1.451658,0.352289,0.476200
1,1.478499,1.363085,0.458289,0.507000
2,1.376242,1.393732,0.503711,0.497000
3,1.328407,1.269461,0.520689,0.540200
4,1.271459,1.195326,0.541511,0.572000
5,1.237968,1.139221,0.556711,0.590400
6,1.199361,1.281083,0.569444,0.541800
7,1.180855,1.141113,0.579200,0.599400
8,1.156955,1.126200,0.589267,0.599000
9,1.138513,1.092103,0.597689,0.606400
10,1.116966,1.051483,0.603956,0.621600
11,1.098515,1.041414,0.611622,0.631600
12,1.085708,1.036240,0.616600,0.636600
13,1.078143,1.022967,0.621511,0.635800
14,1.064321,0.987197,0.628267,0.650200
15,1.045911,0.991146,0.629578,0.652800
16,1.033945,0.947445,0.635889,0.671800
17,1.026507,0.986321,0.637600,0.649800
18,1.014203,0.949704,0.643511,0.667800
19,1.008880,0.958505,0.644644,0.658600
20,1.000589,1.039871,0.645111,0.639000
21,1.001014,0.949784,0.648200,0.666200
22,0.999765,0.934901,0.648778,0.677800
23,0.989845,0.939439,0.653400,0.663200
24,0.977799,0.958929,0.655822,0.666800
25,0.975264,0.952388,0.658311,0.668600
26,0.964111,0.963895,0.663800,0.669800
27,0.961974,0.929850,0.660689,0.666800
28,0.962949,0.927120,0.664267,0.672800
29,0.952429,0.908208,0.666133,0.687200
