epochs, train_loss, val_loss, train_acc, val_acc
0,1.746185,1.477335,0.356244,0.463200
1,1.479291,1.351666,0.463800,0.503200
2,1.388172,1.309124,0.500800,0.534200
3,1.328410,1.226823,0.525044,0.565200
4,1.284113,1.212098,0.542222,0.573800
5,1.237712,1.135420,0.558156,0.588200
6,1.221790,1.168249,0.568044,0.585800
7,1.191342,1.134108,0.578356,0.592400
8,1.167826,1.093584,0.585711,0.608800
9,1.162879,1.218062,0.588933,0.578200
10,1.138551,1.156443,0.595156,0.597200
11,1.138886,1.137443,0.597911,0.605400
12,1.129479,1.104139,0.601778,0.605000
13,1.109056,1.072272,0.606867,0.623800
14,1.105335,1.122238,0.611511,0.607000
15,1.096290,1.076295,0.610844,0.619600
16,1.102101,1.016876,0.610911,0.644800
17,1.091931,1.025439,0.615267,0.639000
18,1.073434,1.047070,0.619800,0.624400
19,1.071314,1.020898,0.621178,0.639000
20,1.061980,1.013848,0.625911,0.639800
21,1.063460,0.979592,0.628200,0.656000
22,1.062867,1.052211,0.624667,0.628000
23,1.055840,1.140564,0.625800,0.604000
24,1.053279,1.025365,0.626422,0.641400
25,1.046832,1.001646,0.628844,0.655600
26,1.047578,1.111624,0.630289,0.612000
27,1.042600,0.997052,0.631400,0.653200
28,1.041520,0.988762,0.634844,0.653200
29,1.030198,1.042405,0.635689,0.642600
