epochs, train_loss, val_loss, train_acc, val_acc
0,1.996854,1.800957,0.241622,0.309600
1,1.882639,1.755063,0.285089,0.345000
2,1.847607,1.746180,0.306267,0.331800
3,1.800202,1.783248,0.320267,0.323600
4,1.806626,1.682531,0.327822,0.369000
5,1.787215,1.750037,0.340356,0.373600
6,1.746094,1.702891,0.356044,0.364200
7,1.745571,1.622657,0.358222,0.400600
8,1.714415,1.660797,0.369533,0.396800
9,1.711639,1.585387,0.370356,0.423600
10,1.705920,1.604149,0.379467,0.419600
11,1.700637,1.643970,0.381311,0.401400
12,1.660573,1.643970,0.394200,0.396800
13,1.669286,1.639330,0.393444,0.414200
14,1.662552,1.584628,0.395089,0.432600
15,1.667591,1.670881,0.397778,0.404600
16,1.666518,1.606162,0.403467,0.428600
17,1.670382,1.651695,0.400933,0.429000
18,1.663682,1.623785,0.402533,0.425400
19,1.652509,1.565457,0.406533,0.425000
20,1.650984,1.586172,0.403867,0.427200
21,1.648643,1.629380,0.408778,0.419800
22,1.669310,1.642962,0.405156,0.422600
23,1.651097,1.636123,0.413778,0.429000
24,1.647486,1.622922,0.412689,0.413000
25,1.620161,1.568404,0.419889,0.427200
26,1.656482,1.632406,0.409156,0.409800
27,1.689630,1.617738,0.397667,0.407800
28,1.649554,1.619439,0.410933,0.425200
29,1.640265,1.668405,0.415867,0.391000
