epochs, train_loss, val_loss, train_acc, val_acc
0,1.746710,1.526924,0.360489,0.443200
1,1.456334,1.331012,0.471067,0.526200
2,1.352737,1.303388,0.513311,0.536600
3,1.284310,1.209697,0.539689,0.566000
4,1.233529,1.123793,0.559400,0.600600
5,1.182708,1.096127,0.580756,0.612600
6,1.164482,1.153824,0.591156,0.596400
7,1.131042,1.090763,0.599244,0.614200
8,1.116423,1.016363,0.604756,0.637200
9,1.088347,1.037495,0.615911,0.633800
10,1.059459,1.007321,0.625089,0.644400
11,1.056314,1.011798,0.628000,0.643400
12,1.037011,0.983951,0.631600,0.649400
13,1.025429,0.988388,0.636867,0.653400
14,1.018604,1.042021,0.637222,0.634200
15,1.010066,0.940513,0.642822,0.671600
16,0.997249,0.971997,0.645622,0.656400
17,0.984069,0.966535,0.653356,0.656600
18,0.976286,0.957805,0.654133,0.659800
19,0.971403,0.951545,0.657267,0.665800
20,0.971631,1.052243,0.659711,0.630600
21,0.953151,0.931192,0.662222,0.671600
22,0.945014,0.890830,0.664733,0.687200
23,0.939467,0.899943,0.668200,0.681000
24,0.935752,0.917080,0.670333,0.680000
25,0.925863,0.920757,0.672844,0.673400
26,0.932685,0.896421,0.669444,0.685200
27,0.922871,0.924340,0.674489,0.681400
28,0.911458,0.907753,0.679467,0.687600
29,0.915146,0.881285,0.675533,0.693400
